command,operations,usec_per_op,max_memory,used_memory,keyspace,host,timestamp
get,12781278260,0.55,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
set,3195665413,0.91,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
pacluster,3357608,1.30,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
adminauth,2891422,2.70,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
replconf,1118310,1.21,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
dump,734606,2.19,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
ttl,734606,0.20,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
info,691827,55.71,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
config,431801,73.03,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
role,419700,7.78,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
scan,71138,13.65,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
select,19974,0.18,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
type,5053,0.54,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
auth,3728,6.20,17179869184,637795248,keys=734606,r-6gjrc9vf30rgi6bb4apd.redis.ap-south-1.rds.aliyuncs.com,2020-05-03 08:38:26 am
